ID,Label
10001,1
10002,0
10003,1
10004,0
10005,1
10006,0
10007,1
10008,0
10009,1
10010,0
10011,1
10012,0
10013,1
10014,0
10015,1
10016,0
10017,1
10018,0
10019,1
10020,0
10021,1
10022,0
10023,1
10024,0
10025,1
10026,0
10027,1
10028,0
10029,1
10030,0
10031,1
10032,0
10033,1
10034,0
10035,1
10036,0
10037,1
10038,0
10039,1
10040,0
10041,1
10042,0
10043,1
10044,0
10045,1
10046,0
10047,1
10048,0
10049,1
10050,0
10051,1
10052,0
10053,1
10054,0
10055,1
10056,0
10057,1
10058,0
10059,1
10060,0
10061,1
10062,0
10063,1
10064,0
10065,1
10066,0
10067,1
10068,0
10069,1
10070,0
10071,1
10072,0
10073,1
10074,0
10075,1
10076,0
10077,1
10078,0
10079,1
10080,0
10081,1
10082,0
10083,1
10084,0
10085,1
10086,0
10087,1
10088,0
10089,1
10090,0
10091,1
10092,0
10093,1
10094,0
10095,1
10096,0
10097,1
10098,0
10099,1
10100,0
10101,1
10102,0
10103,1
10104,0
10105,1
10106,0
10107,1
10108,0
10109,1
10110,0
10111,1
10112,0
10113,1
10114,0
10115,1
10116,0
10117,1
10118,0
10119,1
10120,0
10121,1
10122,0
10123,1
10124,0
10125,1
10126,0
10127,1
10128,0
10129,1
10130,0
10131,1
10132,0
10133,1
10134,0
10135,1
10136,0
10137,1
10138,0
10139,1
10140,0
10141,1
10142,0
10143,1
10144,0
10145,1
10146,0
10147,1
10148,0
10149,1
10150,0
10151,1
10152,0
10153,1
10154,0
10155,1
10156,0
10157,1
10158,0
10159,1
10160,0
10161,1
10162,0
10163,1
10164,0
10165,1
10166,0
10167,1
10168,0
10169,1
10170,0
10171,1
10172,0
10173,1
10174,0
10175,1
10176,0
10177,1
10178,0
10179,1
10180,0
10181,1
10182,0
10183,1
10184,0
10185,1
10186,0
10187,1
10188,0
10189,1
10190,0
10191,1
10192,0
10193,1
10194,0
10195,1
10196,0
10197,1
10198,0
10199,1
10200,0
10201,1
10202,0
10203,1
10204,0
10205,1
10206,0
10207,1
10208,0
10209,1
10210,0
10211,1
10212,0
10213,1
10214,0
10215,1
10216,0
10217,1
10218,0
10219,1
10220,0
10221,1
10222,0
10223,1
10224,0
